token:PROGRAM |type: start program token |pos: 0 |st: 0
token:TEST |type: variable token |pos: 8 |st: 0
token:; |type: end action token |pos: 12 |st: 0
token:VAR |type: declaring block variables token |pos: 0 |st: 1
token:I |type: variable token |pos: 2 |st: 2
token:: |type: declaring variable token |pos: 3 |st: 2
token:INTEGER |type: variables type token |pos: 5 |st: 2
token:; |type: end action token |pos: 12 |st: 2
token:C |type: variable token |pos: 2 |st: 3
token:, |type: split token |pos: 3 |st: 3
token:CH |type: variable token |pos: 5 |st: 3
token:: |type: declaring variable token |pos: 7 |st: 3
token:CHAR |type: variables type token |pos: 9 |st: 3
token:; |type: end action token |pos: 13 |st: 3
token:BEGIN |type: Begin token |pos: 0 |st: 4
token:WRITELN |type: writeln token |pos: 2 |st: 5
token:( |type: open bracket token |pos: 9 |st: 5
token:) |type: close bracket token |pos: 27 |st: 5
token:; |type: end action token |pos: 28 |st: 5
token:WRITELN |type: writeln token |pos: 2 |st: 6
token:( |type: open bracket token |pos: 9 |st: 6
token:) |type: close bracket token |pos: 14 |st: 6
token:; |type: end action token |pos: 15 |st: 6
token:WRITELN |type: writeln token |pos: 2 |st: 7
token:( |type: open bracket token |pos: 9 |st: 7
token:) |type: close bracket token |pos: 26 |st: 7
token:; |type: end action token |pos: 27 |st: 7
token:END |type: end block token |pos: 0 |st: 9
token:. |type: end program token |pos: 3 |st: 9
